VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg,lp_lagaug,lp_gls,varlp_avg,svar_iv,residual,lp_IV_controls
cat1,-0.875403609039734,-0.717400474816445,-1.19773626584421,-0.619200631160739,-0.432392156966372,-0.554946273287579,-0.512897097093926,-0.466306376829392,0.166449606501864,-0.781010715898559,-0.832855640192624,-0.559001610598077,-0.427500277377113
cat2,0.519698505407475,0.0766377048963391,0.589084843049852,0.435571555825691,0.650839005319133,0.448491597779537,-0.00502756303582385,0.315635126088685,-0.706442262139175,0.366681599999469,0.548252837509279,0.83935207373381,-0.196869724040509
cat3,0.244024250921858,0.491199586460341,0.355733229311877,0.248182198907455,0.174390350271706,0.106070268408486,0.416702049732125,0.0789258833049311,-0.475974253048915,0.352458930339141,0.125846496950115,1.23362083659849,-0.421267838680602
cat4,0,0,0,0,0,0,0,0,0,0,0,0,0
cat5,-0.0875395145443871,0.573741725583905,-0.157664247896252,-0.564981380604001,-1.04190610638648,0.297670278081845,0.394558683363654,-0.269821870591536,0.328008284097711,-0.0158314535807106,0.049636081178003,0.0585792921149282,-1.11600199177441
cat6,0,0,0,0,0,0,0,0,0,0,0,0,0
cat7,0.286485891414432,-0.146160367116518,0.812224005069665,0.391496840986818,0.250026078696437,0.385258690089546,0.0936853588902531,0.233707629729236,-1.08862635786434,0.161684967266697,0.588596774649375,1.42636082640493,0.560438023378548
cat8,-0.794637758835234,-0.690984045811604,-0.891125742584557,-0.243475060301059,-0.0499294694521857,-0.925084255487706,-0.551536698658876,-0.352119907072939,0.135321303936446,-0.632413639860822,-0.920707849464316,-1.14108698525476,0.480153257617964
cat9,-1.13669451884939,-0.919109185056962,-1.46114239689714,-0.206798974096892,0.00731274800072773,0.317547087500458,-0.399033537084482,0.0150235343020114,0.425821452526038,-0.58642589437097,-0.314924005685543,-1.71410674965815,-0.220617255726831
cat10,0,0,0,0,0,0,0,0,0,0,0,0,0
h0,-0.710309514873335,-1.21651020645535,-0.369104500749058,-1.4821536354971,-1.73621213636205,0.113009919742352,-0.958480976861659,-0.947517779434958,0.497248990469021,-1.13116457930854,-0.819492148378029,0.0167316430290488,-0.362227217842225
h1,-0.207964547510765,-0.904832383861403,-0.00826395570382542,-0.675885957905499,-0.967921131520769,-0.863471827540995,-0.694539584476912,-0.701937161515873,0.553570888101361,-0.412003839925719,-0.766608649235439,0.299421907729688,0.363830930739311
h2,0.0172016042475752,-0.252805578013559,0.182181418601976,-0.292247078148366,-0.494556231627689,-1.24692229313975,-0.506805589852369,-0.36362094187228,0.184275713735077,-0.0728252411406873,-0.636160530321617,0.56028496325946,0.551886774852148
h3,-0.136827025045117,-0.442668698416818,-0.42785119659805,-0.841049266435838,-0.871614286862671,-0.857283952376062,-0.919920780780862,-0.622859129877984,0.0223996646732912,-0.608745318627562,-0.145936165359978,0.728132026238907,0.25941605818648
h4,0.202374290323568,-0.142711020856455,0.287778245175081,-0.163338103088163,-0.418131464768893,-0.561464984544092,-0.148259769896373,-0.170013410396103,0.30772506225414,0.0479110667057477,0.320601313198468,0.634059183688565,0.0895753914624376
h5,0.11784250754663,-0.174167826751126,0.759451509943249,-0.334364130994526,-0.801238813661999,-0.566176140978087,0.130271807330107,-0.679413383163916,0.425854297422696,0.026876885105461,0.241635847686818,0.343411000427461,0.508421428135732
h6,-0.0230294446916389,-0.505258065923042,0.85466759851505,-0.540341227192346,-0.809439101865081,-0.153063594294705,-0.224610969665047,-1.18342438442434,0.364554471416828,-0.341014595080241,0.122347532719653,0.386820190825005,0.413493789666238
h7,0.393887866452822,-0.208323295824826,0.682209366684835,-0.300819367622367,-0.659497521673571,-0.0149748352229691,-0.005871456937716,-0.188931562857743,0.583239139385169,-0.156480841318017,0.383339075976127,0.360610702276701,0.474114679162132
h8,0.321681160982774,-0.488055259992781,0.796870067625778,-0.411132242809961,-0.918963409978552,0.0286960553406108,0.337838314875916,-0.250708667146922,0.732311268449417,-0.410728357496315,0.335784808663851,0.225277022647509,0.0803718587052164
h9,0.423567899582519,-0.471050217308243,0.769716274751266,0.0136911508617788,-0.27197098125443,-0.0289674553921677,0.271410692152847,-0.301106500820931,0.751844064078065,-0.366684179598682,0.478434258258874,0.0850947997770468,0.337391423035364
h10,0.312937660241769,-0.448509761148906,0.607883139504356,-0.513147103048999,-0.745945733787889,-0.221656666947973,0.182562999612655,-0.0779695291538332,0.77285066521034,-0.401851383202785,0.461584931308998,0.184604724213491,0.103671499577076
h11,0.568339234460518,-0.410632316956141,0.499696555175632,-0.516867839592267,-0.691758382118998,-0.45410660865887,-0.0248266823501805,-0.400993846738878,0.602307978876231,-0.311156976498273,0.430503936907369,0.39801431629791,0.425912045235672
h12,0.545040690983537,-0.203902865386264,0.447170469453041,-0.611388514601525,-1.09753975317723,-0.967487098639831,0.0890518812221724,-0.722908868915327,0.468970315578275,-0.0615571471454736,0.435209646859556,0.615682034846014,0.952244507656599
h13,0.309006348822795,-0.0191560078080191,0.3539294638132,-0.556990617809095,-0.807896854766034,-0.51346140872532,-0.210750435991368,-0.56121834245594,0.473280952027759,-0.236976796464211,0.291875574411242,-0.0492528415876598,0.561818034934199
h14,0.495682341975281,0.089467852085025,0.0669618952032381,-0.0487136147789724,-0.268951784232781,-0.35529326112668,-0.509791134118787,-0.229518362291608,0.549252221647134,-0.326627721277765,0.274389012750668,0.176546187061413,0.285531890905569
h15,0.486357532356891,0.132849444437064,-0.241115000233771,-0.114199715563208,-0.0360730161674007,-0.590068213247715,-0.713614325973977,-0.120034651079037,0.429302323625377,-0.235745128729399,0.216116847821635,0.2109035268227,0.444929830380891
h16,0.434719534644221,0.141906325322756,-0.00673254073653893,-0.556905733811308,-0.274740884822701,-0.313352911608343,-0.4096311971654,-0.118159805500676,0.317032316577358,-0.267502677477388,0.0224764087404152,0.438079129780338,0.480414224898718
h17,0.363463637116903,0.136081221008553,0.0951629998220205,-0.425848825623478,-0.00802616396690539,-0.389781747353692,-1.33968654067987,-0.344080021942446,0.635621605551504,-0.0396471218477134,0.115420911681186,0.515815054194246,0.780375924996081
h18,0.269422302666263,0.10506599960009,0.102992368175125,-0.399258231527384,-0.551062585095143,-0.272526098526557,-1.15990051013124,-0.59744464727905,0.592338092992647,-0.0695403297010159,0.0575522416131965,-0.0118437898610065,0.595831121777696
h19,0.141419740776712,0.020792529876295,0.0713662354866135,0.102206491591996,-0.360631958112177,-0.0700135854488343,-0.299262410609735,-0.0511153727260422,0.148185919489595,0.0722743701358282,-0.178768052758291,-0.0435155643746279,0.589548501521582
h20,0,0,0,0,0,0,0,0,0,0,0,0,0
